index,id_of_item,Domain_Code,Domain,Area_Code,Area,Element_Code,Element,Item_Code,Crop_Name,Year_Code,Year,Unit,Production_Value,Flag,Flag_Description,Annual_Temp,Temp_Jan_Feb,Temp_Mar_May,Temp_Jun_Sep,Temp_Oct_Dec,Rain_Jan,Rain_Feb,Rain_Mar,Rain_Apr,Rain_May,Rain_Jun,Rain_Jul,Rain_Aug,Rain_Sep,Rain_Oct,Rain_Nov,Rain_Dec,Annual_Rainfall,Rain_Jan_Feb,Rain_Mar_May,Rain_Jun_Sep,Rain_Oct_Dec
12,697,QCL,Crops and livestock products,100,India,5312,Area harvested,44,Barley,1961,1961,ha,3205000,,Official data,24,18.98,26.11,27.06,21.17,26.1,34.8,26,28.5,77.6,192.9,336.6,287.6,234.9,122.2,21.7,10.4,1399.2,60.9,132.1,1052,154.2
13,755,QCL,Crops and livestock products,100,India,5419,Yield,44,Barley,1961,1961,hg/ha,8796,Fc,Calculated data,24,18.98,26.11,27.06,21.17,26.1,34.8,26,28.5,77.6,192.9,336.6,287.6,234.9,122.2,21.7,10.4,1399.2,60.9,132.1,1052,154.2
14,813,QCL,Crops and livestock products,100,India,5510,Production,44,Barley,1961,1961,tonnes,2819000,,Official data,24,18.98,26.11,27.06,21.17,26.1,34.8,26,28.5,77.6,192.9,336.6,287.6,234.9,122.2,21.7,10.4,1399.2,60.9,132.1,1052,154.2
15,871,QCL,Crops and livestock products,100,India,5312,Area harvested,176,"Beans, dry",1961,1961,ha,6541250,,Official data,24,18.98,26.11,27.06,21.17,26.1,34.8,26,28.5,77.6,192.9,336.6,287.6,234.9,122.2,21.7,10.4,1399.2,60.9,132.1,1052,154.2
16,929,QCL,Crops and livestock products,100,India,5419,Yield,176,"Beans, dry",1961,1961,hg/ha,2577,Fc,Calculated data,24,18.98,26.11,27.06,21.17,26.1,34.8,26,28.5,77.6,192.9,336.6,287.6,234.9,122.2,21.7,10.4,1399.2,60.9,132.1,1052,154.2
17,987,QCL,Crops and livestock products,100,India,5510,Production,176,"Beans, dry",1961,1961,tonnes,1685630,,Official data,24,18.98,26.11,27.06,21.17,26.1,34.8,26,28.5,77.6,192.9,336.6,287.6,234.9,122.2,21.7,10.4,1399.2,60.9,132.1,1052,154.2
18,1045,QCL,Crops and livestock products,100,India,5312,Area harvested,414,"Beans, green",1961,1961,ha,80000,F,FAO estimate,24,18.98,26.11,27.06,21.17,26.1,34.8,26,28.5,77.6,192.9,336.6,287.6,234.9,122.2,21.7,10.4,1399.2,60.9,132.1,1052,154.2
19,1103,QCL,Crops and livestock products,100,India,5419,Yield,414,"Beans, green",1961,1961,hg/ha,23125,Fc,Calculated data,24,18.98,26.11,27.06,21.17,26.1,34.8,26,28.5,77.6,192.9,336.6,287.6,234.9,122.2,21.7,10.4,1399.2,60.9,132.1,1052,154.2
20,1161,QCL,Crops and livestock products,100,India,5510,Production,414,"Beans, green",1961,1961,tonnes,185000,F,FAO estimate,24,18.98,26.11,27.06,21.17,26.1,34.8,26,28.5,77.6,192.9,336.6,287.6,234.9,122.2,21.7,10.4,1399.2,60.9,132.1,1052,154.2
21,1219,QCL,Crops and livestock products,100,India,5312,Area harvested,358,Cabbages and other brassicas,1961,1961,ha,21000,F,FAO estimate,24,18.98,26.11,27.06,21.17,26.1,34.8,26,28.5,77.6,192.9,336.6,287.6,234.9,122.2,21.7,10.4,1399.2,60.9,132.1,1052,154.2
22,1277,QCL,Crops and livestock products,100,India,5419,Yield,358,Cabbages and other brassicas,1961,1961,hg/ha,137143,Fc,Calculated data,24,18.98,26.11,27.06,21.17,26.1,34.8,26,28.5,77.6,192.9,336.6,287.6,234.9,122.2,21.7,10.4,1399.2,60.9,132.1,1052,154.2
23,1335,QCL,Crops and livestock products,100,India,5510,Production,358,Cabbages and other brassicas,1961,1961,tonnes,288000,,Official data,24,18.98,26.11,27.06,21.17,26.1,34.8,26,28.5,77.6,192.9,336.6,287.6,234.9,122.2,21.7,10.4,1399.2,60.9,132.1,1052,154.2
24,1393,QCL,Crops and livestock products,100,India,5312,Area harvested,426,Carrots and turnips,1961,1961,ha,8000,F,FAO estimate,24,18.98,26.11,27.06,21.17,26.1,34.8,26,28.5,77.6,192.9,336.6,287.6,234.9,122.2,21.7,10.4,1399.2,60.9,132.1,1052,154.2
25,1451,QCL,Crops and livestock products,100,India,5419,Yield,426,Carrots and turnips,1961,1961,hg/ha,80000,Fc,Calculated data,24,18.98,26.11,27.06,21.17,26.1,34.8,26,28.5,77.6,192.9,336.6,287.6,234.9,122.2,21.7,10.4,1399.2,60.9,132.1,1052,154.2
26,1509,QCL,Crops and livestock products,100,India,5510,Production,426,Carrots and turnips,1961,1961,tonnes,64000,F,FAO estimate,24,18.98,26.11,27.06,21.17,26.1,34.8,26,28.5,77.6,192.9,336.6,287.6,234.9,122.2,21.7,10.4,1399.2,60.9,132.1,1052,154.2
27,1567,QCL,Crops and livestock products,100,India,5312,Area harvested,217,"Cashew nuts, with shell",1961,1961,ha,200000,F,FAO estimate,24,18.98,26.11,27.06,21.17,26.1,34.8,26,28.5,77.6,192.9,336.6,287.6,234.9,122.2,21.7,10.4,1399.2,60.9,132.1,1052,154.2
28,1625,QCL,Crops and livestock products,100,India,5419,Yield,217,"Cashew nuts, with shell",1961,1961,hg/ha,4250,Fc,Calculated data,24,18.98,26.11,27.06,21.17,26.1,34.8,26,28.5,77.6,192.9,336.6,287.6,234.9,122.2,21.7,10.4,1399.2,60.9,132.1,1052,154.2
29,1683,QCL,Crops and livestock products,100,India,5510,Production,217,"Cashew nuts, with shell",1961,1961,tonnes,85000,F,FAO estimate,24,18.98,26.11,27.06,21.17,26.1,34.8,26,28.5,77.6,192.9,336.6,287.6,234.9,122.2,21.7,10.4,1399.2,60.9,132.1,1052,154.2
30,1741,QCL,Crops and livestock products,100,India,5312,Area harvested,393,Cauliflowers and broccoli,1961,1961,ha,41000,F,FAO estimate,24,18.98,26.11,27.06,21.17,26.1,34.8,26,28.5,77.6,192.9,336.6,287.6,234.9,122.2,21.7,10.4,1399.2,60.9,132.1,1052,154.2
31,1799,QCL,Crops and livestock products,100,India,5419,Yield,393,Cauliflowers and broccoli,1961,1961,hg/ha,100732,Fc,Calculated data,24,18.98,26.11,27.06,21.17,26.1,34.8,26,28.5,77.6,192.9,336.6,287.6,234.9,122.2,21.7,10.4,1399.2,60.9,132.1,1052,154.2
32,1857,QCL,Crops and livestock products,100,India,5510,Production,393,Cauliflowers and broccoli,1961,1961,tonnes,413000,,Official data,24,18.98,26.11,27.06,21.17,26.1,34.8,26,28.5,77.6,192.9,336.6,287.6,234.9,122.2,21.7,10.4,1399.2,60.9,132.1,1052,154.2
33,1915,QCL,Crops and livestock products,100,India,5312,Area harvested,531,Cherries,1961,1961,ha,1200,F,FAO estimate,24,18.98,26.11,27.06,21.17,26.1,34.8,26,28.5,77.6,192.9,336.6,287.6,234.9,122.2,21.7,10.4,1399.2,60.9,132.1,1052,154.2
34,1973,QCL,Crops and livestock products,100,India,5419,Yield,531,Cherries,1961,1961,hg/ha,25000,Fc,Calculated data,24,18.98,26.11,27.06,21.17,26.1,34.8,26,28.5,77.6,192.9,336.6,287.6,234.9,122.2,21.7,10.4,1399.2,60.9,132.1,1052,154.2
35,2031,QCL,Crops and livestock products,100,India,5510,Production,531,Cherries,1961,1961,tonnes,3000,,Official data,24,18.98,26.11,27.06,21.17,26.1,34.8,26,28.5,77.6,192.9,336.6,287.6,234.9,122.2,21.7,10.4,1399.2,60.9,132.1,1052,154.2
36,2089,QCL,Crops and livestock products,100,India,5312,Area harvested,689,"Chillies and peppers, dry",1961,1961,ha,616000,,Official data,24,18.98,26.11,27.06,21.17,26.1,34.8,26,28.5,77.6,192.9,336.6,287.6,234.9,122.2,21.7,10.4,1399.2,60.9,132.1,1052,154.2
37,2147,QCL,Crops and livestock products,100,India,5419,Yield,689,"Chillies and peppers, dry",1961,1961,hg/ha,6315,Fc,Calculated data,24,18.98,26.11,27.06,21.17,26.1,34.8,26,28.5,77.6,192.9,336.6,287.6,234.9,122.2,21.7,10.4,1399.2,60.9,132.1,1052,154.2
38,2205,QCL,Crops and livestock products,100,India,5510,Production,689,"Chillies and peppers, dry",1961,1961,tonnes,389000,,Official data,24,18.98,26.11,27.06,21.17,26.1,34.8,26,28.5,77.6,192.9,336.6,287.6,234.9,122.2,21.7,10.4,1399.2,60.9,132.1,1052,154.2
39,2263,QCL,Crops and livestock products,100,India,5312,Area harvested,401,"Chillies and peppers, green",1961,1961,ha,2850,F,FAO estimate,24,18.98,26.11,27.06,21.17,26.1,34.8,26,28.5,77.6,192.9,336.6,287.6,234.9,122.2,21.7,10.4,1399.2,60.9,132.1,1052,154.2
40,2321,QCL,Crops and livestock products,100,India,5419,Yield,401,"Chillies and peppers, green",1961,1961,hg/ha,59649,Fc,Calculated data,24,18.98,26.11,27.06,21.17,26.1,34.8,26,28.5,77.6,192.9,336.6,287.6,234.9,122.2,21.7,10.4,1399.2,60.9,132.1,1052,154.2
41,2379,QCL,Crops and livestock products,100,India,5510,Production,401,"Chillies and peppers, green",1961,1961,tonnes,17000,F,FAO estimate,24,18.98,26.11,27.06,21.17,26.1,34.8,26,28.5,77.6,192.9,336.6,287.6,234.9,122.2,21.7,10.4,1399.2,60.9,132.1,1052,154.2
42,2437,QCL,Crops and livestock products,100,India,5312,Area harvested,249,Coconuts,1961,1961,ha,723000,,Official data,24,18.98,26.11,27.06,21.17,26.1,34.8,26,28.5,77.6,192.9,336.6,287.6,234.9,122.2,21.7,10.4,1399.2,60.9,132.1,1052,154.2
43,2495,QCL,Crops and livestock products,100,India,5419,Yield,249,Coconuts,1961,1961,hg/ha,46030,Fc,Calculated data,24,18.98,26.11,27.06,21.17,26.1,34.8,26,28.5,77.6,192.9,336.6,287.6,234.9,122.2,21.7,10.4,1399.2,60.9,132.1,1052,154.2
44,2553,QCL,Crops and livestock products,100,India,5510,Production,249,Coconuts,1961,1961,tonnes,3328000,,Official data,24,18.98,26.11,27.06,21.17,26.1,34.8,26,28.5,77.6,192.9,336.6,287.6,234.9,122.2,21.7,10.4,1399.2,60.9,132.1,1052,154.2
45,2611,QCL,Crops and livestock products,100,India,5312,Area harvested,656,"Coffee, green",1961,1961,ha,96000,,Official data,24,18.98,26.11,27.06,21.17,26.1,34.8,26,28.5,77.6,192.9,336.6,287.6,234.9,122.2,21.7,10.4,1399.2,60.9,132.1,1052,154.2
46,2669,QCL,Crops and livestock products,100,India,5419,Yield,656,"Coffee, green",1961,1961,hg/ha,4500,Fc,Calculated data,24,18.98,26.11,27.06,21.17,26.1,34.8,26,28.5,77.6,192.9,336.6,287.6,234.9,122.2,21.7,10.4,1399.2,60.9,132.1,1052,154.2
47,2727,QCL,Crops and livestock products,100,India,5510,Production,656,"Coffee, green",1961,1961,tonnes,43200,,Official data,24,18.98,26.11,27.06,21.17,26.1,34.8,26,28.5,77.6,192.9,336.6,287.6,234.9,122.2,21.7,10.4,1399.2,60.9,132.1,1052,154.2
48,2785,QCL,Crops and livestock products,100,India,5312,Area harvested,397,Cucumbers and gherkins,1961,1961,ha,5500,F,FAO estimate,24,18.98,26.11,27.06,21.17,26.1,34.8,26,28.5,77.6,192.9,336.6,287.6,234.9,122.2,21.7,10.4,1399.2,60.9,132.1,1052,154.2
49,2843,QCL,Crops and livestock products,100,India,5419,Yield,397,Cucumbers and gherkins,1961,1961,hg/ha,47273,Fc,Calculated data,24,18.98,26.11,27.06,21.17,26.1,34.8,26,28.5,77.6,192.9,336.6,287.6,234.9,122.2,21.7,10.4,1399.2,60.9,132.1,1052,154.2
50,2901,QCL,Crops and livestock products,100,India,5510,Production,397,Cucumbers and gherkins,1961,1961,tonnes,26000,F,FAO estimate,24,18.98,26.11,27.06,21.17,26.1,34.8,26,28.5,77.6,192.9,336.6,287.6,234.9,122.2,21.7,10.4,1399.2,60.9,132.1,1052,154.2
51,2959,QCL,Crops and livestock products,100,India,5312,Area harvested,399,Eggplants (aubergines),1961,1961,ha,150000,F,FAO estimate,24,18.98,26.11,27.06,21.17,26.1,34.8,26,28.5,77.6,192.9,336.6,287.6,234.9,122.2,21.7,10.4,1399.2,60.9,132.1,1052,154.2
52,3017,QCL,Crops and livestock products,100,India,5419,Yield,399,Eggplants (aubergines),1961,1961,hg/ha,66000,Fc,Calculated data,24,18.98,26.11,27.06,21.17,26.1,34.8,26,28.5,77.6,192.9,336.6,287.6,234.9,122.2,21.7,10.4,1399.2,60.9,132.1,1052,154.2
53,3075,QCL,Crops and livestock products,100,India,5510,Production,399,Eggplants (aubergines),1961,1961,tonnes,990000,F,FAO estimate,24,18.98,26.11,27.06,21.17,26.1,34.8,26,28.5,77.6,192.9,336.6,287.6,234.9,122.2,21.7,10.4,1399.2,60.9,132.1,1052,154.2
54,3133,QCL,Crops and livestock products,100,India,5312,Area harvested,711,"Anise, badian, fennel, coriander",1961,1961,ha,90000,F,FAO estimate,24,18.98,26.11,27.06,21.17,26.1,34.8,26,28.5,77.6,192.9,336.6,287.6,234.9,122.2,21.7,10.4,1399.2,60.9,132.1,1052,154.2
55,3191,QCL,Crops and livestock products,100,India,5419,Yield,711,"Anise, badian, fennel, coriander",1961,1961,hg/ha,5000,Fc,Calculated data,24,18.98,26.11,27.06,21.17,26.1,34.8,26,28.5,77.6,192.9,336.6,287.6,234.9,122.2,21.7,10.4,1399.2,60.9,132.1,1052,154.2
56,3249,QCL,Crops and livestock products,100,India,5510,Production,711,"Anise, badian, fennel, coriander",1961,1961,tonnes,45000,F,FAO estimate,24,18.98,26.11,27.06,21.17,26.1,34.8,26,28.5,77.6,192.9,336.6,287.6,234.9,122.2,21.7,10.4,1399.2,60.9,132.1,1052,154.2
57,3307,QCL,Crops and livestock products,100,India,5312,Area harvested,406,Garlic,1961,1961,ha,35000,F,FAO estimate,24,18.98,26.11,27.06,21.17,26.1,34.8,26,28.5,77.6,192.9,336.6,287.6,234.9,122.2,21.7,10.4,1399.2,60.9,132.1,1052,154.2
58,3365,QCL,Crops and livestock products,100,India,5419,Yield,406,Garlic,1961,1961,hg/ha,37143,Fc,Calculated data,24,18.98,26.11,27.06,21.17,26.1,34.8,26,28.5,77.6,192.9,336.6,287.6,234.9,122.2,21.7,10.4,1399.2,60.9,132.1,1052,154.2
59,3423,QCL,Crops and livestock products,100,India,5510,Production,406,Garlic,1961,1961,tonnes,130000,F,FAO estimate,24,18.98,26.11,27.06,21.17,26.1,34.8,26,28.5,77.6,192.9,336.6,287.6,234.9,122.2,21.7,10.4,1399.2,60.9,132.1,1052,154.2
60,3481,QCL,Crops and livestock products,100,India,5312,Area harvested,720,Ginger,1961,1961,ha,21000,,Official data,24,18.98,26.11,27.06,21.17,26.1,34.8,26,28.5,77.6,192.9,336.6,287.6,234.9,122.2,21.7,10.4,1399.2,60.9,132.1,1052,154.2
61,3539,QCL,Crops and livestock products,100,India,5419,Yield,720,Ginger,1961,1961,hg/ha,9048,Fc,Calculated data,24,18.98,26.11,27.06,21.17,26.1,34.8,26,28.5,77.6,192.9,336.6,287.6,234.9,122.2,21.7,10.4,1399.2,60.9,132.1,1052,154.2
62,3597,QCL,Crops and livestock products,100,India,5510,Production,720,Ginger,1961,1961,tonnes,19000,,Official data,24,18.98,26.11,27.06,21.17,26.1,34.8,26,28.5,77.6,192.9,336.6,287.6,234.9,122.2,21.7,10.4,1399.2,60.9,132.1,1052,154.2
63,3655,QCL,Crops and livestock products,100,India,5312,Area harvested,560,Grapes,1961,1961,ha,4400,F,FAO estimate,24,18.98,26.11,27.06,21.17,26.1,34.8,26,28.5,77.6,192.9,336.6,287.6,234.9,122.2,21.7,10.4,1399.2,60.9,132.1,1052,154.2
64,3713,QCL,Crops and livestock products,100,India,5419,Yield,560,Grapes,1961,1961,hg/ha,159091,Fc,Calculated data,24,18.98,26.11,27.06,21.17,26.1,34.8,26,28.5,77.6,192.9,336.6,287.6,234.9,122.2,21.7,10.4,1399.2,60.9,132.1,1052,154.2
65,3771,QCL,Crops and livestock products,100,India,5510,Production,560,Grapes,1961,1961,tonnes,70000,F,FAO estimate,24,18.98,26.11,27.06,21.17,26.1,34.8,26,28.5,77.6,192.9,336.6,287.6,234.9,122.2,21.7,10.4,1399.2,60.9,132.1,1052,154.2
66,3829,QCL,Crops and livestock products,100,India,5312,Area harvested,497,Lemons and limes,1961,1961,ha,36000,*,Unofficial figure,24,18.98,26.11,27.06,21.17,26.1,34.8,26,28.5,77.6,192.9,336.6,287.6,234.9,122.2,21.7,10.4,1399.2,60.9,132.1,1052,154.2
67,3887,QCL,Crops and livestock products,100,India,5419,Yield,497,Lemons and limes,1961,1961,hg/ha,115278,Fc,Calculated data,24,18.98,26.11,27.06,21.17,26.1,34.8,26,28.5,77.6,192.9,336.6,287.6,234.9,122.2,21.7,10.4,1399.2,60.9,132.1,1052,154.2
68,3945,QCL,Crops and livestock products,100,India,5510,Production,497,Lemons and limes,1961,1961,tonnes,415000,,Official data,24,18.98,26.11,27.06,21.17,26.1,34.8,26,28.5,77.6,192.9,336.6,287.6,234.9,122.2,21.7,10.4,1399.2,60.9,132.1,1052,154.2
69,4003,QCL,Crops and livestock products,100,India,5312,Area harvested,242,"Groundnuts, with shell",1961,1961,ha,6889000,,Official data,24,18.98,26.11,27.06,21.17,26.1,34.8,26,28.5,77.6,192.9,336.6,287.6,234.9,122.2,21.7,10.4,1399.2,60.9,132.1,1052,154.2
70,4061,QCL,Crops and livestock products,100,India,5419,Yield,242,"Groundnuts, with shell",1961,1961,hg/ha,7249,Fc,Calculated data,24,18.98,26.11,27.06,21.17,26.1,34.8,26,28.5,77.6,192.9,336.6,287.6,234.9,122.2,21.7,10.4,1399.2,60.9,132.1,1052,154.2
71,4119,QCL,Crops and livestock products,100,India,5510,Production,242,"Groundnuts, with shell",1961,1961,tonnes,4994000,,Official data,24,18.98,26.11,27.06,21.17,26.1,34.8,26,28.5,77.6,192.9,336.6,287.6,234.9,122.2,21.7,10.4,1399.2,60.9,132.1,1052,154.2
72,4177,QCL,Crops and livestock products,100,India,5312,Area harvested,201,Lentils,1961,1961,ha,791149,,Official data,24,18.98,26.11,27.06,21.17,26.1,34.8,26,28.5,77.6,192.9,336.6,287.6,234.9,122.2,21.7,10.4,1399.2,60.9,132.1,1052,154.2
73,4235,QCL,Crops and livestock products,100,India,5419,Yield,201,Lentils,1961,1961,hg/ha,4533,Fc,Calculated data,24,18.98,26.11,27.06,21.17,26.1,34.8,26,28.5,77.6,192.9,336.6,287.6,234.9,122.2,21.7,10.4,1399.2,60.9,132.1,1052,154.2
74,4293,QCL,Crops and livestock products,100,India,5510,Production,201,Lentils,1961,1961,tonnes,358666,,Official data,24,18.98,26.11,27.06,21.17,26.1,34.8,26,28.5,77.6,192.9,336.6,287.6,234.9,122.2,21.7,10.4,1399.2,60.9,132.1,1052,154.2
75,4351,QCL,Crops and livestock products,100,India,5312,Area harvested,372,Lettuce and chicory,1961,1961,ha,55000,F,FAO estimate,24,18.98,26.11,27.06,21.17,26.1,34.8,26,28.5,77.6,192.9,336.6,287.6,234.9,122.2,21.7,10.4,1399.2,60.9,132.1,1052,154.2
76,4409,QCL,Crops and livestock products,100,India,5419,Yield,372,Lettuce and chicory,1961,1961,hg/ha,45455,Fc,Calculated data,24,18.98,26.11,27.06,21.17,26.1,34.8,26,28.5,77.6,192.9,336.6,287.6,234.9,122.2,21.7,10.4,1399.2,60.9,132.1,1052,154.2
77,4467,QCL,Crops and livestock products,100,India,5510,Production,372,Lettuce and chicory,1961,1961,tonnes,250000,F,FAO estimate,24,18.98,26.11,27.06,21.17,26.1,34.8,26,28.5,77.6,192.9,336.6,287.6,234.9,122.2,21.7,10.4,1399.2,60.9,132.1,1052,154.2
78,4525,QCL,Crops and livestock products,100,India,5312,Area harvested,56,Maize,1961,1961,ha,4507000,,Official data,24,18.98,26.11,27.06,21.17,26.1,34.8,26,28.5,77.6,192.9,336.6,287.6,234.9,122.2,21.7,10.4,1399.2,60.9,132.1,1052,154.2
79,4583,QCL,Crops and livestock products,100,India,5419,Yield,56,Maize,1961,1961,hg/ha,9567,Fc,Calculated data,24,18.98,26.11,27.06,21.17,26.1,34.8,26,28.5,77.6,192.9,336.6,287.6,234.9,122.2,21.7,10.4,1399.2,60.9,132.1,1052,154.2
80,4641,QCL,Crops and livestock products,100,India,5510,Production,56,Maize,1961,1961,tonnes,4312000,,Official data,24,18.98,26.11,27.06,21.17,26.1,34.8,26,28.5,77.6,192.9,336.6,287.6,234.9,122.2,21.7,10.4,1399.2,60.9,132.1,1052,154.2
81,4699,QCL,Crops and livestock products,100,India,5312,Area harvested,571,"Mangoes, mangosteens, guavas",1961,1961,ha,850000,F,FAO estimate,24,18.98,26.11,27.06,21.17,26.1,34.8,26,28.5,77.6,192.9,336.6,287.6,234.9,122.2,21.7,10.4,1399.2,60.9,132.1,1052,154.2
82,4757,QCL,Crops and livestock products,100,India,5419,Yield,571,"Mangoes, mangosteens, guavas",1961,1961,hg/ha,82212,Fc,Calculated data,24,18.98,26.11,27.06,21.17,26.1,34.8,26,28.5,77.6,192.9,336.6,287.6,234.9,122.2,21.7,10.4,1399.2,60.9,132.1,1052,154.2
83,4815,QCL,Crops and livestock products,100,India,5510,Production,571,"Mangoes, mangosteens, guavas",1961,1961,tonnes,6988000,,Official data,24,18.98,26.11,27.06,21.17,26.1,34.8,26,28.5,77.6,192.9,336.6,287.6,234.9,122.2,21.7,10.4,1399.2,60.9,132.1,1052,154.2
84,4873,QCL,Crops and livestock products,100,India,5312,Area harvested,568,"Melons, other (inc.cantaloupes)",1961,1961,ha,9500,F,FAO estimate,24,18.98,26.11,27.06,21.17,26.1,34.8,26,28.5,77.6,192.9,336.6,287.6,234.9,122.2,21.7,10.4,1399.2,60.9,132.1,1052,154.2
85,4931,QCL,Crops and livestock products,100,India,5419,Yield,568,"Melons, other (inc.cantaloupes)",1961,1961,hg/ha,136842,Fc,Calculated data,24,18.98,26.11,27.06,21.17,26.1,34.8,26,28.5,77.6,192.9,336.6,287.6,234.9,122.2,21.7,10.4,1399.2,60.9,132.1,1052,154.2
86,4989,QCL,Crops and livestock products,100,India,5510,Production,568,"Melons, other (inc.cantaloupes)",1961,1961,tonnes,130000,F,FAO estimate,24,18.98,26.11,27.06,21.17,26.1,34.8,26,28.5,77.6,192.9,336.6,287.6,234.9,122.2,21.7,10.4,1399.2,60.9,132.1,1052,154.2
87,5047,QCL,Crops and livestock products,100,India,5312,Area harvested,430,Okra,1961,1961,ha,150000,F,FAO estimate,24,18.98,26.11,27.06,21.17,26.1,34.8,26,28.5,77.6,192.9,336.6,287.6,234.9,122.2,21.7,10.4,1399.2,60.9,132.1,1052,154.2
88,5105,QCL,Crops and livestock products,100,India,5419,Yield,430,Okra,1961,1961,hg/ha,51667,Fc,Calculated data,24,18.98,26.11,27.06,21.17,26.1,34.8,26,28.5,77.6,192.9,336.6,287.6,234.9,122.2,21.7,10.4,1399.2,60.9,132.1,1052,154.2
89,5163,QCL,Crops and livestock products,100,India,5510,Production,430,Okra,1961,1961,tonnes,775000,F,FAO estimate,24,18.98,26.11,27.06,21.17,26.1,34.8,26,28.5,77.6,192.9,336.6,287.6,234.9,122.2,21.7,10.4,1399.2,60.9,132.1,1052,154.2
90,5221,QCL,Crops and livestock products,100,India,5312,Area harvested,702,"Nutmeg, mace and cardamoms",1961,1961,ha,50000,F,FAO estimate,24,18.98,26.11,27.06,21.17,26.1,34.8,26,28.5,77.6,192.9,336.6,287.6,234.9,122.2,21.7,10.4,1399.2,60.9,132.1,1052,154.2
